投资时间,受资方,所属行业,VC阶段,投资金额,币种,投资方,
2017-10-24,呼啦啦,电子商务,种子轮,1百万,美元,不公开的投资者,
2017-10-24,眼神科技,IT服务,A轮,1亿,人民币,不公开的投资者 / 先锋国盛,
2017-10-23,希德电子信息,其他电子产品,新三板定增轮,8064万,人民币,纵横星河投资 / 陕西敦敏投资合伙企业（有限合伙）,
2017-10-23,易控电子,汽车制造,新三板定增轮,7500万,人民币,芜湖嘉豪 / 华科创投 / 国投创业 / 朗玛峰创投,
2017-10-23,智充科技,电源,A轮,数千万,人民币,真格基金 / 纪源资本,
2017-10-21,佳佣网,网络服务,天使轮,3百万,人民币,不公开的投资者 / 海尔创投,
2017-10-20,大家来,其他网络服务,A轮,1亿,人民币,TL Data / 新美大,
2017-10-20,龙图信息,应用软件,新三板定增轮,3000万,人民币,阿里创投,
2017-10-20,达斯琪,材料与元器件,天使轮,数千万,人民币,容铭资本 / 国金投资,
2017-10-20,工品汇,B2B,B轮,1.1亿,人民币,云启资本 / 普华资本 / 中融恒睿 / 微光创投,
2017-10-20,门牙,B2B,A轮,数千万,人民币,不公开的投资者 / 创世伙伴,
2017-10-19,兴易达,交通运输,新三板定增轮,1000万,人民币,浙江复创投资管理有限公司,
2017-10-19,爱存包,其他无线互联网服务,天使轮,3百万,人民币,不公开的投资者,
2017-10-19,蜻蜓.fm,无线音乐,D轮,10亿,人民币,中民投资本 / 智度投资 / 百度投资部 / 微影资本 / 国家中小企业发展基金,
2017-10-19,极企科技,应用软件,A轮,数千万,人民币,星河互联,
2017-10-19,欧米尼医药,医药,C轮,2.6亿,人民币,不公开的投资者 / 国投创业 / 维梧资本,
2017-10-18,中电数据,医疗服务,A轮,非公开,,隽熙投资,
2017-10-18,玩美商贸,无线互联网服务,A轮,2500万,美元,Extol Capital / 创世伙伴 / 讯连科技 / 元大创投,
2017-10-18,九个亿数资财经,互联网金融,天使轮,数百万,人民币,不公开的投资者 / 世高科技,
2017-10-18,普罗米新,应用软件,,71.5万,人民币,博宇新光,
2017-10-18,同智伟业,基础软件,新三板定增轮,999万,人民币,济南风投,
2017-10-17,华强文化,连锁及零售,新三板定增轮,14.6亿,人民币,高林资本 / 招商致远资本 / 东源汇信 / 中骏微影 / 国富基金,
2017-10-17,融资线,金融服务,A轮,数千万,人民币,慧聪国际（慧聪网）,
2017-10-17,功夫豆,广告创意/代理,A轮,数千万,人民币,昆仲资本,
2017-10-17,花卷,电子商务,B轮,4千万,美元,银泰百货 / 祥峰投资 / 治平资本 / 创新工场 / EMC,
2017-10-16,懒熊体育,体育,B轮,非公开,,腾讯投资,
2017-10-16,第一体育,体育,A轮,8千万,人民币,不公开的投资者 / 深创投 / 中金公司,
2017-10-16,青创众帮,金融服务,天使轮,1千万,人民币,银石集团,
2017-10-16,初速度科技,IT服务,B轮,非公开,,凯辉基金 / 纪源资本,
2017-10-16,讯众股份,IT,新三板定增轮,10000万,人民币,浙江泛城资产管理有限公司 / 联通创新股权投资管理（成都）有限公司 / 光大常春藤 / 重庆文化创意股权投资基金 / 珠海通沛股权投资管理合伙企业（有限合伙）,
2017-10-16,深蓝机器,其他电器机械及器材制造,新三板定增轮,1200万,人民币,长润资产,
2017-10-13,泰通科技,其他电子产品,新三板定增轮,2000万,人民币,盛世景,
2017-10-13,金宝威,学历教育,新三板定增轮,5479万,人民币,东方睿德 / 东方证券,
2017-10-13,禾多科技,硬件,天使轮,数千万,人民币,知行科技 / IDG资本 / BAI / 四维图新,
2017-10-13,蜜柚时尚,手机购物,B轮,数千万,美元,不公开的投资者 / 国中创投,
2017-10-13,明朗智能,日常用品,D轮,4百万,人民币,新沃创投,
2017-10-13,普罗米新,应用软件,,非公开,,博宇新光,
2017-10-13,塔牌集团,建材,上市定增轮,30亿,人民币,富格金天 / 华融瑞通 / 华宝信托 / 江苏瑞峰投资,
2017-10-13,飞凯材料,化工原料生产,上市定增轮,2.3亿,人民币,益新投资,
2017-10-13,紫光华宇,应用软件,上市定增轮,2.9亿,人民币,嘉实基金 / 国鑫投资 / 中关村大河资本,
2017-10-13,彩虹股份,光电显示器,上市定增轮,192.2亿,人民币,合肥芯屏投资管理有限公司,
2017-10-12,新华制药,医药,上市定增轮,2.3亿,人民币,巨能资本,
2017-10-12,欧德雅,建筑/工程,A轮,1650万,人民币,金鼎资本,
2017-10-12,娱加娱乐,娱乐与休闲,C轮,非公开,,易泽资本,
2017-10-11,原昇科技,广告代理商及网络营销服务机构,Pre-A轮,数千万,人民币,蓝色光标 / 英诺天使基金,
2017-10-11,货拉拉,配送及仓储,C轮,1亿,美元,概念资本 / 襄禾资本 / 顺为资本,
2017-10-11,优辰公寓,房地产中介服务,Pre-A轮,1500万,人民币,小樱桃基金 / 青松基金,
2017-10-11,觅跑,体育,A轮,7500万,人民币,毅达资本 / 合鲸资本 / 经纬中国 / 信中利资本,
2017-10-11,中天引控,研究与试验发展,新三板定增轮,3.9亿,人民币,西安航天创新投 / 保利投资,
2017-10-11,波汇科技,光通信,新三板定增轮,非公开,,不公开的投资者,
2017-10-10,中溶科技,化工原料生产,新三板定增轮,非公开,,不公开的投资者,
2017-10-10,途家网,网络旅游,C轮,3亿,美元,华兴私募股权基金 / 高街资产 / 全明星投资 / 携程旅行网 / Glade Brook Capital,
2017-10-10,华信永道,软件,新三板定增轮,3500万,人民币,盈科资本,
2017-10-10,晶科电子,电器机械及器材制造,新三板定增轮,2.1亿,人民币,光荣资产 / 中银粤财股权投资 / 鼎德凯投资 / 麦哲伦资本,
2017-10-09,记健康,医疗服务,天使轮,6千万,人民币,重山资本 / 天亿资管 / 天使投资人 / 正和岛投资,
2017-10-09,宅翻新,建筑/工程,A轮,2千万,人民币,PINGO国际,
2017-10-09,宜昌交运,交通运输,上市定增轮,9.3亿,人民币,红塔红土 / 泰达宏利基金 / 云基地投资,
2017-10-02,超力嗨体育,娱乐与休闲,天使轮,3百万,人民币,史克浪国际体育 / 天使投资人,
2017-10-01,势必可赢,IT服务,A轮,数千万,人民币,福鱼资本 / IDG资本 / 弘治资本 / 原创资本,
2017-10-01,海量大数据重度孵化器,IT服务,A轮,数千万,美元,众上集团,
2017-10-01,智裳科技,硬件,天使轮,非公开,,睿鼎资本,
2017-10-01,编玩边学,专业培训,Pre-A轮,数千万,人民币,泰亚鼎富 / 君联资本,
2017-10-01,微早教,教育与培训,Pre-A轮,1千万,人民币,梅花天使创投,
2017-09-30,枭龙科技,硬件,B轮,数千万,人民币,戈壁,
2017-09-30,早稻科技,科技交流和推广服务业,B轮,1.1亿,人民币,预鉴资本 / 奇虎中财,
2017-09-30,阿卡索,专业培训,B轮,数亿,人民币,不公开的投资者 / 深创投 / IDG资本 / 深圳市人才创新创业基金,
2017-09-30,KEEKO教育,硬件,B轮,非公开,,不公开的投资者 / 华教建木（厦门）股权投资基金管理有限公司,
2017-09-30,石头村,娱乐与休闲,种子轮,非公开,,洪泰天使（成都） / 洪泰智造工场,
2017-09-30,仔皇煲,餐饮,A轮,数千万,人民币,百福控股,
2017-09-30,神棍局,其他娱乐与休闲,天使轮,非公开,,原链资本,
2017-09-29,飞宇精密,日用化学,新三板定增轮,9864万,人民币,万丰锦源 / 金石智娱 / 毅达资本 / 永合金丰,
2017-09-29,纵横六合,软件,新三板定增轮,5832万,人民币,北京鑫正厚成投资咨询有限责任公司 / 重庆文化创意股权投资基金 / 北京觉悟到投资管理有限公司 / 苏州顺信仁汇股权投资企业（有限合伙）,
2017-09-29,桑尼能源,电器机械及器材制造,新三板定增轮,3.5亿,人民币,三峡建信投资基金管理 / 金石灏汭 / 申银万国投资,
